,birthState,debutDecade,count,count_decade,pct
901,Victoria,1990,1,131,0.007633587786259542
902,Monte Cristi,1990,6,131,0.04580152671755725
903,Bedfordshire,1990,1,131,0.007633587786259542
904,Villa Clara,1990,2,131,0.015267175572519083
905,ID,1990,2,131,0.015267175572519083
906,NB,1990,2,131,0.015267175572519083
907,Sinaloa,1990,4,131,0.030534351145038167
908,NC,1990,30,131,0.22900763358778625
909,Monte Plata,1990,2,131,0.015267175572519083
910,Sonora,1990,8,131,0.061068702290076333
911,Bolivar,1990,6,131,0.04580152671755725
912,Bocas del Toro,1990,2,131,0.015267175572519083
913,Distrito Nacional,1990,41,131,0.31297709923664124
914,Miranda,1990,3,131,0.022900763358778626
915,South Australia,1990,2,131,0.015267175572519083
916,NE,1990,8,131,0.061068702290076333
917,Michihoacan,1990,1,131,0.007633587786259542
918,ND,1990,2,131,0.015267175572519083
919,Sonora,2000,7,145,0.04827586206896552
920,Sanchez Ramirez,2000,6,145,0.041379310344827586
921,AK,2000,6,145,0.041379310344827586
922,San Pedro de Macoris,2000,26,145,0.1793103448275862
923,TN,2000,18,145,0.12413793103448276
924,St. Thomas,2000,1,145,0.006896551724137931
925,Tokyo,2000,2,145,0.013793103448275862
926,Santiago,2000,13,145,0.0896551724137931
927,Sinaloa,2000,5,145,0.034482758620689655
928,VA,2000,26,145,0.1793103448275862
929,AL,2000,32,145,0.2206896551724138
930,Santiago Rodriguez,2000,2,145,0.013793103448275862
931,Tamaulipas,2000,1,145,0.006896551724137931
932,San Cristobal,2000,17,145,0.11724137931034483
933,San Juan,2000,6,145,0.041379310344827586
934,South Australia,2000,1,145,0.006896551724137931
935,Sucre,2000,6,145,0.041379310344827586
936,Santo Domingo,2000,4,145,0.027586206896551724
937,Tokushima,2000,1,145,0.006896551724137931
938,Samana,2000,4,145,0.027586206896551724
939,TX,2000,156,145,1.0758620689655172
940,Duarte,2000,3,145,0.020689655172413793
941,SC,2000,14,145,0.09655172413793103
942,Cocle,2000,1,145,0.006896551724137931
943,Kochi,2000,1,145,0.006896551724137931
944,Kyoto,2000,1,145,0.006896551724137931
945,Coahuila,2000,1,145,0.006896551724137931
946,LA,2000,26,145,0.1793103448275862
947,La Altagracia,2000,1,145,0.006896551724137931
948,Chiriqui,2000,2,145,0.013793103448275862
949,La Habana,2000,10,145,0.06896551724137931
950,La Romana,2000,7,145,0.04827586206896552
951,Chihuahua,2000,1,145,0.006896551724137931
952,La Vega,2000,2,145,0.013793103448275862
953,Lara,2000,14,145,0.09655172413793103
954,Chiba,2000,3,145,0.020689655172413793
955,WA,2000,35,145,0.2413793103448276
956,Carabobo,2000,19,145,0.1310344827586207
957,MA,2000,18,145,0.12413793103448276
958,MD,2000,16,145,0.1103448275862069
959,ME,2000,2,145,0.013793103448275862
960,CT,2000,10,145,0.06896551724137931
961,MI,2000,18,145,0.12413793103448276
962,MN,2000,13,145,0.0896551724137931
963,Western Australia,2000,1,145,0.006896551724137931
964,CO,2000,16,145,0.1103448275862069
965,MO,2000,25,145,0.1724137931034483
966,MS,2000,31,145,0.21379310344827587
967,MT,2000,3,145,0.020689655172413793
968,Zulia,2000,19,145,0.1310344827586207
969,Maria Trinidad Sanchez,2000,6,145,0.041379310344827586
970,SD,2000,5,145,0.034482758620689655
971,Kanagawa,2000,1,145,0.006896551724137931
972,Merida,2000,1,145,0.006896551724137931
973,Kagoshima,2000,1,145,0.006896551724137931
974,Cojedes,2000,1,145,0.006896551724137931
975,Ehime,2000,1,145,0.006896551724137931
976,El Seibo,2000,2,145,0.013793103448275862
977,Espaillat,2000,1,145,0.006896551724137931
978,Estado de Mexico,2000,1,145,0.006896551724137931
979,FL,2000,136,145,0.9379310344827586
980,WV,2000,5,145,0.034482758620689655
981,Fukuoka,2000,1,145,0.006896551724137931
982,Distrito Nacional,2000,53,145,0.36551724137931035
983,GA,2000,62,145,0.42758620689655175
984,Distrito Federal,2000,20,145,0.13793103448275862
985,Greater Manchester,2000,1,145,0.006896551724137931
986,Guarico,2000,3,145,0.020689655172413793
987,HI,2000,13,145,0.0896551724137931
988,Hato Mayor,2000,5,145,0.034482758620689655
989,Hermanas Mirabal,2000,4,145,0.027586206896551724
990,Hiroshima,2000,1,145,0.006896551724137931
991,Dajabon,2000,3,145,0.020689655172413793
992,WY,2000,2,145,0.013793103448275862
